date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-09-12,3068858.9969414393,2915869.607282535,3086499.1950325314,3218931.168982537
2025-09-13,3025645.2129841135,2894740.0464252103,3034046.3385752076,3182662.4667752087
2025-09-14,2976247.99386411,2818579.958705207,2985397.2192052067,3127148.952205207
2025-09-15,3041413.719291641,2883695.9680827376,3037065.6716327346,3181101.269632737
2025-09-16,2976075.9938621256,2813627.3500032243,2968460.2542032157,3114193.435703221
2025-09-17,3029662.2333945176,2898998.6942356145,3036398.4764856165,3197266.184235618
2025-09-18,2959749.5182800023,2818813.6175710983,2965573.3261211007,3103270.972771098
2025-09-19,2970415.2194231474,2817425.829764243,2976112.562764245,3108245.5081642475
2025-09-20,3022579.4236080814,2864599.637899178,3036534.052449174,3183695.331249173
2025-09-21,2959033.9168726034,2776598.814063697,2956888.1942136977,3126659.7072136994
2025-09-22,2997291.1410719184,2839056.249413014,3012730.4571630144,3178094.500663011
2025-09-23,3007678.157907123,2861414.381498222,3012748.4602482175,3143501.37419822
2025-09-24,3023889.382992396,2859956.0233334894,3022041.8625834915,3191581.413483496
2025-09-25,2936486.8916252083,2783497.501966304,2953818.561716304,3104090.8424663087
2025-09-26,3004188.4163058945,2860590.638696991,3026181.885646989,3156570.699346987
2025-09-27,3047741.2217691783,2916613.8446102752,3067713.529860275,3183564.4380602753
2025-09-28,2967133.375603771,2826510.655944868,2976282.6009448674,3098353.0839448674
2025-09-29,3036410.2105939747,2890146.4341850732,3065537.6201850707,3205161.059435068
2025-09-30,2966269.823912263,2850997.152153356,2973291.461253359,3122925.9302533586
2025-10-01,3029709.817812328,2902134.3271534266,3039662.6514034253,3159948.8312534275
2025-10-02,2966079.82561644,2800869.108757533,2979254.914957534,3126347.4064575313
2025-10-03,3032283.6712136967,2811477.7625547913,3030137.9485547915,3193284.889054789
2025-10-04,2967874.393391235,2824967.8711323314,2963955.3957323246,3098368.1855823323
2025-10-05,3037346.6351794503,2873413.2755205436,3033055.5962705445,3187984.211520545
2025-10-06,2962250.7312734956,2819233.837464592,2973847.400364591,3113212.207664592
2025-10-07,3035954.1864342466,2888697.066075344,3067578.0802753475,3240717.826175345
2025-10-08,2961637.836370071,2754849.5903111724,2956827.5734611657,3098093.404411168
2025-10-09,3035823.117370548,2870211.6467116415,3021982.0424616477,3167042.8257116447
2025-10-10,2961600.4642884955,2784492.778829587,2964906.743879594,3098184.0694795866
2025-10-11,3042626.4181019166,2889637.0284430124,3059302.7426930144,3179003.6608930076
2025-10-12,2959867.2507537697,2816960.7284948663,2963029.0415948667,3108214.142094868
2025-10-13,3013705.9048343827,2872537.77352548,3010586.951925474,3162112.041925481
2025-10-14,3042551.413927598,2906061.6315186936,3048269.999268693,3193188.990268693
2025-10-15,2956144.272318906,2808963.720660004,2955840.6699100016,3080915.240410004
2025-10-16,2986081.2687201337,2825287.843161231,2994164.3553112284,3121700.007511231
2025-10-17,2993046.728145203,2868811.7716362975,2997244.0312363,3150063.9819362983
2025-10-18,3009060.7233782155,2868438.0037193126,3010308.0227193097,3179106.448769313
2025-10-19,3036088.193839995,2859381.2621810865,3036958.9136810917,3179609.648331091
2025-10-20,2955586.838686235,2824459.4615273317,2970488.9317773255,3104696.010277333
2025-10-21,3000006.094410407,2864704.1752515025,3004203.3975015036,3137253.228801504
2025-10-22,2989215.0526263686,2807466.106117462,2980557.561967461,3164582.7823674604
2025-10-23,3019787.8874728754,2855854.5278139687,3015496.8485639696,3151804.639163969
2025-10-24,3009173.008140958,2878267.8415820547,3027644.219732055,3178122.6527820523
2025-10-25,3038375.5202035587,2864062.2345446586,3046776.645794653,3190560.6938446513
2025-10-26,2950232.2389565096,2839953.3677976085,2985125.514297603,3111233.456797602
2025-10-27,3007630.7993972553,2842659.447138349,3003282.751738349,3142637.519488351
2025-10-28,3046586.911521845,2888799.4643129413,3060200.5041129384,3198065.99421294
2025-10-29,2955614.9246630166,2820142.036354112,2957602.393254113,3112271.031004112
2025-10-30,3050351.607160682,2901810.5566017795,3046003.5595017755,3211467.5148017732
2025-10-31,2952768.6371356193,2830397.4743267186,2985611.2827267116,3123507.4439767213
2025-11-01,3085323.7290564985,2924276.3419975913,3088955.7266475973,3217233.210747595
2025-11-02,3014128.8699646634,2856460.83480576,3023273.405805757,3173345.7865057588
2025-11-03,3091178.9834901984,2932944.091831294,3081999.368831294,3241843.187981293
2025-11-04,3014988.241597812,2878961.0878389077,3010754.211438907,3167173.4152389048
2025-11-05,3073320.5913967066,2927133.383687805,3071174.868737801,3224284.6773378015
2025-11-06,2991977.8059664406,2800918.567807533,2988644.328057534,3148797.9503575363
2025-11-07,3065418.148709173,2900919.08200027,3070002.8255502703,3201209.750050269
2025-11-08,2958916.250788773,2799861.756629866,2968934.4996298687,3110395.333479868
